run,epoch,updates,trainCrossEntropy,devScore,rawExactBoards,reliableExactBoards,confidentWrongBoards,occupiedCorrect,occupied
pilot,1,21,0.10433267411731538,0.21549946202251774,15,14,1,554,577
pilot,2,42,0.0959375812893822,0.21415402284429336,15,14,1,553,577
real-only,1,21,0.09946386019388835,0.21417460429410523,15,14,1,554,577
real-only,2,42,0.06178337051754906,0.21079677953205717,15,14,1,553,577
real-only,3,63,0.04476625862575713,0.21145896944038284,15,14,1,554,577
real-only,4,84,0.03200596570968628,0.2134967388253874,15,14,1,553,577
real-only,5,105,0.02504600513549078,0.21595392123205015,15,14,1,553,577
real-only,6,126,0.019933877956299556,0.21884945511164217,15,14,1,554,577
real-only,7,147,0.01590384046236674,0.22158210020503388,15,14,1,554,577
real-only,8,168,0.013881992726098923,0.22453210574279253,15,15,1,554,577
real-only,9,189,0.011761348162378584,0.22760139616394343,15,15,1,554,577
real-only,10,210,0.010762926368486313,0.2306586059164077,15,15,1,554,577
real-only,11,231,0.00885021970385597,0.23378185585114317,15,15,1,554,577
real-only,12,252,0.007761073963982719,0.23630154283735186,16,15,1,553,577
real-only,13,273,0.007165747029440743,0.2385602027083783,16,15,1,552,577
real-only,14,294,0.006135929908071246,0.2409718924699029,16,15,1,551,577
real-only,15,315,0.005630560928866977,0.2432533076677758,16,15,1,550,577
real-only,16,336,0.005539784828821818,0.24512865220178634,16,15,1,550,577
real-only,17,357,0.00483291418779464,0.24712872290211424,16,15,1,550,577
real-only,18,378,0.004905161048684802,0.24874673284424575,16,15,1,548,577
real-only,19,399,0.004433552778902508,0.2505354625794168,16,15,1,548,577
real-only,20,420,0.003944884098711468,0.25188569774931796,16,15,1,548,577
real-only,21,441,0.0035953159843172345,0.25344764229857203,16,15,1,548,577
real-only,22,462,0.0036143394453184946,0.25479025119756654,16,15,1,548,577
real-only,23,483,0.0033795776821318128,0.2558334237350769,16,15,1,548,577
real-only,24,504,0.003140224942139217,0.25698356233736447,16,15,1,548,577
real-only,25,525,0.003335345004286085,0.25790169003616586,16,15,1,548,577
real-only,26,546,0.0029926924478440057,0.25866641992783673,16,15,1,548,577
real-only,27,567,0.0028522926427069165,0.259566405455049,16,15,1,548,577
real-only,28,588,0.0028217372794946036,0.26024250235786894,16,15,1,548,577
real-only,29,609,0.0027337088471367245,0.26097257370677723,16,15,1,548,577
real-only,30,630,0.0027098865026519412,0.2615983762124625,16,15,1,548,577
real-only,31,651,0.002597141478742872,0.26216559589150934,16,15,1,548,577
real-only,32,672,0.0027231318610055105,0.2625943169410815,16,15,1,548,577
real-only,33,693,0.002467560094027292,0.2630509315567906,16,15,1,548,577
real-only,34,714,0.002577135782866251,0.2634203110193574,16,15,1,548,577
real-only,35,735,0.002521336610828127,0.263696701344228,16,15,1,548,577
