run,epoch,mean_available_class_CE_per_train_minibatch,equally_family_averaged_dev_class_CE,raw_exact_boards,occupied_accuracy,reliable_exact_boards,reliable_wrong_boards,selected
pilot,1,0.03795740757777821,1.171750437692166,138,0.7922571219868517,102,33,True
full-3821,1,0.0030493025055768896,1.8269810150284813,145,0.789481373265157,136,81,True
full-3821,2,0.00011355162207582481,1.945689250068939,151,0.7943024105186267,142,102,False
full-3821,3,4.835984679552041e-05,2.204486446655341,151,0.7940102264426588,146,95,False
full-3821,4,2.782845902871145e-05,2.3058064974559134,151,0.7924032140248356,144,92,False
full-3821,5,1.8293113580480913e-05,2.4317019745807165,153,0.7929875821767713,149,102,False
full-3821,6,1.3335434819683467e-05,2.487305166673751,154,0.7926953981008035,149,106,False
full-3821,7,1.0283619879480899e-05,2.5550133789047265,155,0.7926953981008035,149,107,False
full-3821,8,8.504553088206634e-06,2.5896987615725116,156,0.7926953981008035,149,107,False
full-3821,9,7.12218857024105e-06,2.629118809172788,155,0.7931336742147553,149,108,False
full-3821,10,6.381729876603348e-06,2.647154863888049,155,0.7925493060628196,149,108,False
full-3821,11,6.121085088905964e-06,2.6588444383172063,155,0.7925493060628196,149,108,False
full-3821,12,6.08167864485365e-06,2.6630271881645977,155,0.7928414901387875,149,108,False
full-3822,1,0.003415573235258762,1.7910611019929794,141,0.7884587289992695,137,86,True
full-3822,2,0.00016602647320418384,1.8424541972716062,148,0.7865595325054785,139,99,False
full-3822,3,6.148934657179694e-05,2.301668848758205,153,0.7931336742147553,149,83,False
full-3822,4,3.037839537678444e-05,2.3855362384069645,154,0.7935719503287071,149,83,False
full-3822,5,1.9305088961418804e-05,2.4953506998071355,158,0.793864134404675,150,90,False
full-3822,6,1.4298774466237063e-05,2.5330858237279448,155,0.7931336742147553,149,97,False
full-3822,7,1.112419322779612e-05,2.6006318723117863,158,0.7931336742147553,148,96,False
full-3822,8,9.131306732274025e-06,2.6340053405939132,159,0.7932797662527392,147,101,False
full-3822,9,7.809282758564073e-06,2.6603418420819316,159,0.7932797662527392,147,104,False
full-3822,10,6.978371904498015e-06,2.6858471105297355,159,0.7935719503287071,147,104,False
full-3822,11,6.784966544964854e-06,2.6965482000856675,159,0.7935719503287071,147,104,False
full-3822,12,6.522341979731117e-06,2.701261122672959,159,0.7935719503287071,147,104,False
